
Mercedes-Benz G-класс AMG,$700005831700сом5655016,https://im.mashina.kg/tachka/images//a/f/8/af811f0be4bec1e2bf9a806a81ee98c3_240x180.jpg,"2013г.,5.5л.,автоматвнедорожник5дв.,бензинрульслева,170000км"
Toyota Camry,$273002274363сом1076,https://im.mashina.kg/tachka/images//a/c/e/ace28ec6632fc6bf39b0f54667487815_240x180.jpg,"2018г.,2.5л.,автоматседан,бензинрульслева,35000км"
Subaru Outback,$187001557897сом110351,https://im.mashina.kg/tachka/images//1/3/c/13cbb48400c72fe20e3d1da634b7b3f1_240x180.jpg,"2015г.,2.5л.,вариаторуниверсал,бензинрульслева,138000км"
Volkswagen Polo,$10700891417сом1300,https://im.mashina.kg/tachka/images//3/e/3/3e32b162931cf52294b3e28e4c0bd6b3_240x180.jpg,"2015г.,1.4л.,роботхэтчбек5дв.,дизельрульслева,107000км"
Lexus ES,$485004040535сом44,https://im.mashina.kg/tachka/images//1/0/a/10a59886c3c73293b2957a74714529d9_240x180.jpg,"2019г.,2.5л.,вариаторседан,гибридрульслева,37000км"
Toyota 4Runner,$285002374335сом2151,https://im.mashina.kg/tachka/images//0/9/3/093942cb49796ebd0b775192f8bfe697_240x180.jpg,"2010г.,4л.,автоматвнедорожник5дв.,бензинрульслева"
Audi A6,$3961330000сом271,https://im.mashina.kg/tachka/images//1/5/9/159caeebf9719dccb28ef5158716ed23_240x180.jpg,"1999г.,2.8л.,автоматседан,бензинрульслева,250000км"
BMW 3 Серия,$5500458205сом1815,https://im.mashina.kg/tachka/images//8/4/c/84cd81aa68957721951c945eac99dbdf_240x180.jpg,"1985г.,2.7л.,механикаседан,бензинрульслева,300000км"
Honda CR-V,$9500791445сом781,https://im.mashina.kg/tachka/images//0/b/8/0b81fa6c8e8fa89574de3561b201ce54_240x180.jpg,"2003г.,2.4л.,автоматвнедорожник5дв.,бензинрульсправа,103000км"
Toyota Camry,$168001399608сом2025,https://im.mashina.kg/tachka/images//d/d/f/ddf8b92f4aaf23b7139bdf4f4bd38c48_240x180.jpg,"2016г.,2.5л.,автоматседан,бензинрульслева,86000км"
Hyundai Santa Fe,$285002374335сом2048,https://im.mashina.kg/tachka/images//7/f/9/7f91269c9928a0da28a73c9a125fe538_240x180.jpg,"2018г.,2л.,автоматвнедорожник5дв.,дизельрульслева,121500км"
Toyota Land Cruiser,$200001666200сом620,https://im.mashina.kg/tachka/images//1/0/6/1062615a06309b8088bc2e5ca34eac0a_240x180.jpg,"2001г.,4.2л.,автоматвнедорожник5дв.,дизельрульслева"
Lexus RX,$10800899748сом1937,https://im.mashina.kg/tachka/images//0/c/4/0c48d186ce29b395b9fb5e8f5ff96d0f_240x180.jpg,"2003г.,3л.,автоматвнедорожник5дв.,бензинрульслева"
Toyota Camry,$9350778949сом3771,https://im.mashina.kg/tachka/images//9/8/2/9820aa16505e2e8a5934bfcc681a9c6b_240x180.jpg,"2004г.,3л.,автоматседан,бензинрульслева,350000км"
Toyota Camry,$269992249287сом9511,https://im.mashina.kg/tachka/images//2/9/5/2952c38b5ecf49e6b2e32b2767238c03_240x180.jpg,"2018г.,2.5л.,автоматседан,бензинрульслева,65000км"
Toyota Crown,$10700891417сом774,https://im.mashina.kg/tachka/images//2/0/8/208ccedbc19977054552ae248ae24044_240x180.jpg,"2004г.,3л.,автоматседан,бензинрульсправа,250000км"
Toyota Camry,$257502145233сом1270,https://im.mashina.kg/tachka/images//a/d/8/ad887e37a03783f98d7fbbe2104efc73_240x180.jpg,"2017г.,2.5л.,автоматседан,бензинрульслева,100000км"
Toyota Avalon,$235001957785сом1809,https://im.mashina.kg/tachka/images//6/9/8/698e1a28025139acd681381e3ef62702_240x180.jpg,"2016г.,2.5л.,вариаторседан,гибридрульслева,66000км"
Toyota Raum,$7000583170сом8533,https://im.mashina.kg/tachka/images//d/6/4/d64ee71c28144608e9abdadaff5ee169_240x180.jpg,"2003г.,1.5л.,автоматкомпактвэн,бензинрульсправа,170000км"
Toyota Camry,$265002207715сом2069,https://im.mashina.kg/tachka/images//3/6/7/3670baf32985136f47210c5c726e778c_240x180.jpg,"2018г.,2.5л.,автоматседан,бензинрульслева,68000км"
Mercedes-Benz G-класс AMG,$700005831700сом5655016,https://im.mashina.kg/tachka/images//a/f/8/af811f0be4bec1e2bf9a806a81ee98c3_240x180.jpg,"2013г.,5.5л.,автоматвнедорожник5дв.,бензинрульслева,170000км"
Toyota Camry,$273002274363сом1076,https://im.mashina.kg/tachka/images//a/c/e/ace28ec6632fc6bf39b0f54667487815_240x180.jpg,"2018г.,2.5л.,автоматседан,бензинрульслева,35000км"
Subaru Outback,$187001557897сом110351,https://im.mashina.kg/tachka/images//1/3/c/13cbb48400c72fe20e3d1da634b7b3f1_240x180.jpg,"2015г.,2.5л.,вариаторуниверсал,бензинрульслева,138000км"
Volkswagen Polo,$10700891417сом1300,https://im.mashina.kg/tachka/images//3/e/3/3e32b162931cf52294b3e28e4c0bd6b3_240x180.jpg,"2015г.,1.4л.,роботхэтчбек5дв.,дизельрульслева,107000км"
Lexus ES,$485004040535сом44,https://im.mashina.kg/tachka/images//1/0/a/10a59886c3c73293b2957a74714529d9_240x180.jpg,"2019г.,2.5л.,вариаторседан,гибридрульслева,37000км"
Toyota 4Runner,$285002374335сом2151,https://im.mashina.kg/tachka/images//0/9/3/093942cb49796ebd0b775192f8bfe697_240x180.jpg,"2010г.,4л.,автоматвнедорожник5дв.,бензинрульслева"
Audi A6,$3961330000сом271,https://im.mashina.kg/tachka/images//1/5/9/159caeebf9719dccb28ef5158716ed23_240x180.jpg,"1999г.,2.8л.,автоматседан,бензинрульслева,250000км"
BMW 3 Серия,$5500458205сом1815,https://im.mashina.kg/tachka/images//8/4/c/84cd81aa68957721951c945eac99dbdf_240x180.jpg,"1985г.,2.7л.,механикаседан,бензинрульслева,300000км"
Honda CR-V,$9500791445сом781,https://im.mashina.kg/tachka/images//0/b/8/0b81fa6c8e8fa89574de3561b201ce54_240x180.jpg,"2003г.,2.4л.,автоматвнедорожник5дв.,бензинрульсправа,103000км"
Toyota Camry,$168001399608сом2025,https://im.mashina.kg/tachka/images//d/d/f/ddf8b92f4aaf23b7139bdf4f4bd38c48_240x180.jpg,"2016г.,2.5л.,автоматседан,бензинрульслева,86000км"
